rank,location,snowfall,state,city,lat,long,elevation,new_column
14,SEXTON SUMMIT,97.8,OR,Sexton Summit,NaN,NaN,10.4,new_data
89,BURNS,41.3,OR,Burns,43.5862607,-119.0541032,1265.5,new_data
156,PENDLETON,17.7,OR,Pendleton,45.672075,-118.7885967,325.8,new_data
165,ASHEVILLE,15.7,NC,Asheville,35.6009498,-82.5540161,648.6,new_data
183,GREENSBORO-WINSTON-SALEM,9.3,NC,Greensboro-Winston-Salem,36.1113765,-80.1655111,,new_data
186,RALEIGH,7.7,NC,Raleigh,35.7803977,-78.6390989,110.2,new_data
187,MEDFORD,7.4,OR,Medford,42.3264181,-122.8718605,,new_data
191,SALEM,6.6,OR,Salem,44.9391565,-123.033121,48.6,new_data
192,PORTLAND,6.5,OR,Portland,45.5202471,-122.6741949,10.3,new_data
193,EUGENE,6.4,OR,Eugene,44.0505054,-123.0950506,129.4,new_data
196,CHARLOTTE,5.8,NC,Charlotte,35.2270869,-80.8431268,232.5,new_data
203,ASTORIA,4.3,OR,Astoria,46.187885,-123.831256,7.2,new_data
211,WILMINGTON,2.2,NC,Wilmington,34.2257282,-77.9447107,11.2,new_data
214,CAPE HATTERAS,1.9,NC,Cape Hatteras,35.2325575,-75.533368,1.2,new_data
245,HILO,0,HI,Hilo,19.707243,-155.081635,24.3,new_data
246,HONOLULU,0,HI,Honolulu,21.3250785,-157.846644178573,45.1,new_data
247,KAHULUI,0,HI,Kahului,20.8894101,-156.4727118,,new_data
248,LIHUE,0,HI,Lihue,21.981111,-159.371111,67.4,new_data
